state,year,month,blood_type,donations
Johor,2023,12,a,924
Johor,2023,12,ab,227
Johor,2023,12,all,3920
Johor,2023,12,b,1078
Johor,2023,12,o,1690
Johor,2024,1,a,1000
Johor,2024,1,ab,131
Johor,2024,1,all,4120
Johor,2024,1,b,1144
Johor,2024,1,o,1845
Johor,2024,2,a,860
Johor,2024,2,ab,196
Johor,2024,2,all,3596
Johor,2024,2,b,977
Johor,2024,2,o,1563
Johor,2024,3,a,886
Johor,2024,3,ab,184
Johor,2024,3,all,3590
Johor,2024,3,b,898
Johor,2024,3,o,1622
Johor,2024,4,a,837
Johor,2024,4,ab,168
Johor,2024,4,all,3524
Johor,2024,4,b,920
Johor,2024,4,o,1599
Johor,2024,5,a,1072
Johor,2024,5,ab,170
Johor,2024,5,all,4121
Johor,2024,5,b,1136
Johor,2024,5,o,1743
Johor,2024,6,a,914
Johor,2024,6,ab,190
Johor,2024,6,all,4001
Johor,2024,6,b,1076
Johor,2024,6,o,1821
Johor,2024,7,a,895
Johor,2024,7,ab,219
Johor,2024,7,all,3601
Johor,2024,7,b,972
Johor,2024,7,o,1515
Johor,2024,8,a,938
Johor,2024,8,ab,192
Johor,2024,8,all,3871
Johor,2024,8,b,1072
Johor,2024,8,o,1669
Johor,2024,9,a,510
Johor,2024,9,ab,62
Johor,2024,9,all,2085
Johor,2024,9,b,582
Johor,2024,9,o,931
Kedah,2019,1,a,1414
Kedah,2019,1,ab,391
Kedah,2019,1,all,5696
Kedah,2019,1,b,1665
Kedah,2019,1,o,2226
Kedah,2019,2,a,1198
Kedah,2019,2,ab,314
Kedah,2019,2,all,4817
Kedah,2019,2,b,1345
Kedah,2019,2,o,1960
Kedah,2019,3,a,1473
Kedah,2019,3,ab,397
Kedah,2019,3,all,5986
Kedah,2019,3,b,1695
Kedah,2019,3,o,2421
Kedah,2019,4,a,1541
Kedah,2019,4,ab,381
Kedah,2019,4,all,6056
Kedah,2019,4,b,1683
Kedah,2019,4,o,2451
Kedah,2019,5,a,1193
Kedah,2019,5,ab,365
Kedah,2019,5,all,4773
Kedah,2019,5,b,1283
Kedah,2019,5,o,1932
Kedah,2019,6,a,891
Kedah,2019,6,ab,250
Kedah,2019,6,all,3689
Kedah,2019,6,b,1053
Kedah,2019,6,o,1495
Kedah,2019,7,a,527
Kedah,2019,7,ab,148
Kedah,2019,7,all,2185
Kedah,2019,7,b,619
Kedah,2019,7,o,891
Kedah,2019,8,a,462
Kedah,2019,8,ab,134
Kedah,2019,8,all,1854
Kedah,2019,8,b,474
Kedah,2019,8,o,784
Kedah,2019,9,a,450
Kedah,2019,9,ab,118
Kedah,2019,9,all,1849
Kedah,2019,9,b,563
Kedah,2019,9,o,718
Kedah,2019,10,a,447
Kedah,2019,10,ab,113
Kedah,2019,10,all,1787
Kedah,2019,10,b,520
Kedah,2019,10,o,707
Kedah,2019,11,a,455
Kedah,2019,11,ab,127
Kedah,2019,11,all,1870
Kedah,2019,11,b,549
Kedah,2019,11,o,739
Kedah,2019,12,a,488
Kedah,2019,12,ab,131
Kedah,2019,12,all,1944
Kedah,2019,12,b,530
Kedah,2019,12,o,795
Kedah,2020,1,a,576
Kedah,2020,1,ab,162
Kedah,2020,1,all,2231
Kedah,2020,1,b,615
Kedah,2020,1,o,878
Kedah,2020,2,a,648
Kedah,2020,2,ab,168
Kedah,2020,2,all,2486
Kedah,2020,2,b,698
Kedah,2020,2,o,972
Kedah,2020,3,a,327
Kedah,2020,3,ab,81
Kedah,2020,3,all,1324
Kedah,2020,3,b,375
Kedah,2020,3,o,541
Kedah,2020,4,a,272
Kedah,2020,4,ab,65
Kedah,2020,4,all,1170
Kedah,2020,4,b,328
Kedah,2020,4,o,505
Kedah,2020,5,a,298
Kedah,2020,5,ab,102
Kedah,2020,5,all,1278
Kedah,2020,5,b,352
Kedah,2020,5,o,526
Kedah,2020,6,a,534
Kedah,2020,6,ab,123
Kedah,2020,6,all,2003
Kedah,2020,6,b,529
Kedah,2020,6,o,817
Kedah,2020,7,a,452
Kedah,2020,7,ab,125
Kedah,2020,7,all,1823
Kedah,2020,7,b,543
Kedah,2020,7,o,703
Kedah,2020,8,a,273
Kedah,2020,8,ab,71
Kedah,2020,8,all,1158
Kedah,2020,8,b,321
Kedah,2020,8,o,493
Kedah,2020,9,a,66
Kedah,2020,9,ab,23
Kedah,2020,9,all,315
Kedah,2020,9,b,95
Kedah,2020,9,o,131
